Kabupaten/Kota,Produksi Jahe (kilogram) (Kg),Produksi Kapulaga (kilogram) (Kg),Produksi Keji Beling (kilogram) (Kg),Produksi Kencur (kilogram) (Kg),Produksi Kunyit (kilogram) (Kg),Produksi Laos/Lengkuas (kilogram) (Kg),Produksi Lempuyang (kilogram) (Kg),Produksi Lidah Buaya (kilogram) (Kg),Produksi Mahkota Dewa (kilogram) (Kg),Produksi Mengkudu/Pace (kilogram) (Kg),Produksi Sambiloto (kilogram) (Kg),Produksi Temuireng (kilogram) (Kg),Produksi Temukunci (kilogram) (Kg),Produksi Temulawak (kilogram) (Kg),Produksi Jeruk Nipis (kilogram) (Kg),Produksi Serai (kilogram) (Kg),Tahun,Luas Panen Jahe (meter persegi) (M2),Luas Panen Kapulaga (meter persegi) (M2),Luas Panen Keji Beling (meter persegi) (M2),Luas Panen Kencur (meter persegi) (M2),Luas Panen Kunyit (meter persegi) (M2),Luas Panen Laos/Lengkuas (meter persegi) (M2),Luas Panen Lempuyang (meter persegi) (M2),Luas Panen Lidah Buaya (meter persegi) (M2),Luas Panen Mahkota Dewa (pohon) (Pohon),Luas Panen Mengkudu/Pace (pohon) (Pohon),Luas Panen Sambiloto (meter persegi) (M2),Luas Panen Temuireng (meter persegi) (M2),Luas Panen Temukunci (meter persegi) (M2),Luas Panen Temulawak (meter persegi) (M2),Luas Panen Jeruk Nipis (pohon) (Pohon),Luas Panen Serai (meter persegi) (Pohon)
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Catatan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angka sementara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bogor,1919815.0,275541.0,0.0,1859860.0,1621059.0,6496655.0,5700.0,123835.0,0.0,1200.0,9800.0,0.0,948300.0,4450.0,537860.0,1754165.0,2023,468815.0,398571.0,0.0,339200.0,283118.0,971920.0,1650.0,56400.0,0.0,100.0,7400.0,0.0,85850.0,800.0,29592.0,303040.0
Sukabumi,4604247.0,5536645.0,0.0,461876.0,993650.0,95950.0,607.0,0.0,0.0,362645.0,0.0,15200.0,10800.0,12350.0,1750945.0,357150.0,2023,2342022.0,2470450.0,0.0,94240.0,206160.0,49760.0,300.0,0.0,0.0,10745.0,0.0,15200.0,10800.0,12070.0,32770.0,55900.0
Cianjur,7054560.0,32154347.0,0.0,838772.0,1483057.0,1187072.0,1292.0,40115.0,97696.0,454478.0,0.0,0.0,95.0,2800.0,1435338.0,1740036.0,2023,1765659.0,5795467.0,0.0,210821.0,446421.0,109632.0,700.0,6201.0,3850.0,26159.0,0.0,0.0,50.0,970.0,42279.0,191838.0
Bandung,991537.0,452213.0,0.0,89925.0,437854.0,263909.0,0.0,7132.0,68802.0,86123.0,8381.0,11692.0,27255.0,80219.0,209464.0,562904.0,2023,497278.0,123293.0,0.0,34139.0,139294.0,62301.0,0.0,4380.0,1600.0,4156.0,1394.0,2583.0,22085.0,31401.0,21006.0,113259.0
Garut,15272567.0,13667148.0,0.0,160133.0,10053007.0,222218.0,0.0,13670.0,0.0,0.0,0.0,0.0,0.0,228.0,94045.0,518148.0,2023,5250841.0,10552709.0,0.0,95760.0,3482960.0,128226.0,0.0,1395.0,0.0,0.0,0.0,0.0,0.0,59.0,9217.0,142372.0
Tasikmalaya,647711.0,17589031.0,0.0,21030.0,58106.0,30861.0,1223.0,5790.0,13920.0,5024.0,60.0,0.0,0.0,3580.0,71831.0,95958.0,2023,470667.0,9156167.0,0.0,14178.0,38822.0,20315.0,800.0,2100.0,765.0,2112.0,30.0,0.0,0.0,2550.0,4275.0,18388.0
Ciamis,654956.0,1240245.0,0.0,300042.0,435989.0,103058.0,0.0,17160.0,0.0,71972.0,0.0,0.0,0.0,300.0,226960.0,345542.0,2023,718683.0,2225942.0,0.0,698876.0,954156.0,89692.0,0.0,820.0,0.0,1102.0,0.0,0.0,0.0,300.0,15645.0,44383.0
Kuningan,449302.0,1851675.0,0.0,6458.0,110104.0,72740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1515.0,0.0,2023,249735.0,1057820.0,0.0,3498.0,55748.0,65834.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,0.0
